Site,Station,Pair_number,site_type,amplitude_dB_A,24_hrs,48_hrs,72_hrs,remaining,mean_removed,arcsine_sqrt_transformed,Camera_failure,Richness,Seed_Predation,LeastChipmunk,RockSquirrel,PeromyscusMouse,SylvilagusRabbit,SpottedTowhee,JuniperTitmouse,MourningDove,WesternScrubJay,WildTurkey,MuleDeer,CaliforniaJackrabbit,Richness
J08C,J08 C01,J08,C,34,20,20,0,13.33333333,6.666666667,0.615479709,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
J08C,J08 C02,J08,C,33.1,3,1,0,1.333333333,18.66666667,1.309638916,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
J08C,J08 C03,J08,C,33.4,8,0,0,2.666666667,17.33333333,1.197004152,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
J08C,J08 C04,J08,C,33.2,12,2,0,4.666666667,15.33333333,1.066666285,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
J08C,J08 C05,J08,C,32.3,9,1,0,3.333333333,16.66666667,1.150261992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J08C,J08 C06,J08,C,36.7,5,3,0,2.666666667,17.33333333,1.197004152,0,3,1,1,0,1,0,1,0,0,0,0,0,0,3
J08C,J08 C07,J08,C,33.3,8,6,0,4.666666667,15.33333333,1.066666285,0,2,1,0,0,1,0,1,0,0,0,0,0,0,2
J08C,J08 C08,J08,C,32.8,17,14,0,10.33333333,9.666666667,0.768728409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J08C,J08 C09,J08,C,32.6,11,7,2,6.666666667,13.33333333,0.955316618,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
J08C,J08 C10,J08,C,33.4,9,9,11,9.666666667,10.33333333,0.802067918,0,2,0,1,0,0,0,1,0,0,0,0,0,0,2
J15C,J15 C01,J15,C,33.9,0,0,0,0,20,1.570796327,0,3,1,1,0,1,0,1,0,0,0,0,0,0,3
J15C,J15 C02,J15,C,34.8,18,0,0,6,14,0.991156586,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2
J15C,J15 C03,J15,C,33.9,20,20,0,13.33333333,6.666666667,0.615479709,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
J15C,J15 C04,J15,C,32.9,19,0,0,6.333333333,13.66666667,0.973109968,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
J15C,J15 C05,J15,C,33.1,18,20,20,19.33333333,0.666666667,0.18360401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J15C,J15 C06,J15,C,33.3,0,0,0,0,20,1.570796327,0,2,1,0,0,1,0,1,0,0,0,0,0,0,2
J15C,J15 C07,J15,C,34.1,0,14,0,4.666666667,15.33333333,1.066666285,0,2,1,0,1,0,0,1,0,0,0,0,0,0,2
J15C,J15 C08,J15,C,34.2,0,0,0,0,20,1.570796327,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2
J15C,J15 C09,J15,C,33.1,0,0,0,0,20,1.570796327,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
J15C,J15 C10,J15,C,33.7,2,1,0,1,19,1.345282921,0,2,1,1,0,0,0,1,0,0,0,0,0,0,2
J22C,J22 C01,J22,C,36.5,0,0,0,0,20,1.570796327,0,5,0,1,1,1,0,1,0,0,1,0,0,0,5
J22C,J22 C02,J22,C,34.6,20,0,0,6.666666667,13.33333333,0.955316618,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
J22C,J22 C03,J22,C,33.7,0,0,0,0,20,1.570796327,0,2,1,0,0,1,0,1,0,0,0,0,0,0,2
J22C,J22 C04,J22,C,34.3,20,0,0,6.666666667,13.33333333,0.955316618,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
J22C,J22 C05,J22,C,35.6,20,0,0,6.666666667,13.33333333,0.955316618,0,2,1,0,0,0,0,1,0,1,0,0,0,0,2
J22C,J22 C06,J22,C,36.5,20,0,0,6.666666667,13.33333333,0.955316618,0,3,1,1,0,1,0,1,0,0,0,0,0,0,3
J22C,J22 C07,J22,C,34.8,20,0,0,6.666666667,13.33333333,0.955316618,0,4,1,1,1,1,0,1,0,0,0,0,0,0,4
J22C,J22 C08,J22,C,33.8,20,0,20,13.33333333,6.666666667,0.615479709,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
J22C,J22 C09,J22,C,35.6,0,20,0,6.666666667,13.33333333,0.955316618,0,3,1,0,1,0,1,1,0,0,0,0,0,0,3
J22C,J22 C10,J22,C,36.9,0,0,0,0,20,1.570796327,0,3,0,1,0,1,0,0,0,0,1,0,0,0,3
J29C,J29 C01,J29,C,43,0,0,0,0,20,1.570796327,0,3,1,1,0,1,0,1,0,0,0,0,0,0,3
J29C,J29 C02,J29,C,37.3,1,1,0,0.666666667,19.33333333,1.387192316,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
J29C,J29 C03,J29,C,36.7,16,0,0,5.333333333,14.66666667,1.028157225,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
J29C,J29 C04,J29,C,37.5,19,18,0,12.33333333,7.666666667,0.667646045,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
J29C,J29 C05,J29,C,35.4,20,20,0,13.33333333,6.666666667,0.615479709,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
J29C,J29 C06,J29,C,45.1,0,0,1,0.333333333,19.66666667,1.441335556,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
J29C,J29 C07,J29,C,39.7,1,0,0,0.333333333,19.66666667,1.441335556,0,3,1,1,0,1,0,0,0,0,0,0,1,0,3
J29C,J29 C08,J29,C,41.5,0,0,0,0,20,1.570796327,0,3,1,1,0,1,0,1,0,0,0,0,0,0,3
J29C,J29 C09,J29,C,35.5,0,0,0,0,20,1.570796327,0,4,0,1,0,1,0,1,1,0,0,0,0,0,4
J29C,J29 C10,J29,C,41,20,0,0,6.666666667,13.33333333,0.955316618,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
J13C,July13 C01,Ju13,C,40.9,2,3,0,1.666666667,18.33333333,1.277953555,0,4,1,1,1,0,1,0,0,1,0,0,0,0,4
J13C,July13 C02,Ju13,C,38.5,20,0,0,6.666666667,13.33333333,0.955316618,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
J13C,July13 C03,Ju13,C,39,20,20,20,20,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
J13C,July13 C04,Ju13,C,38.1,0,0,0,0,20,1.570796327,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
J13C,July13 C05,Ju13,C,39.5,20,19,7,15.33333333,4.666666667,0.504130041,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
J13C,July13 C06,Ju13,C,39,2,0,1,1,19,1.345282921,0,4,1,1,0,1,0,1,0,0,1,0,0,0,4
J13C,July13 C07,Ju13,C,38.3,20,1,0,7,13,0.93774449,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
