Plot_ID,SITE,site_type,PSEEDLING,CANOPY,BARE,LIVE,DEAD,LITTERD,TOTJUN,TOTPINYO,TOTSHRUB
2007_C02_01,C02,c,2,32.7,40.4,13.5,36.5,4.95,8,16,32
2007_C02_02,C02,c,2,34.6,17.3,17.3,44.2,11.04,10,11,7
2007_C02_03,C02,c,2,30.8,50,15.4,23.1,27.08,7,22,5
2007_C02_04,C02,c,3,30.8,19.2,13.5,61.5,14.97,9,7,0
2007_C02_05,C02,c,2,38.5,34.6,28.8,32.7,4.18,17,13,25
2007_C02_06,C02,c,1,53.8,25,11.5,42.3,3.36,14,29,10
2007_C09_01,C09,c,0,48.1,30.8,26.9,26.9,27.36,18,6,45
2007_C09_02,C09,c,1,34.6,38.5,23.1,32.7,2.71,16,2,41
2007_C09_03,C09,c,3,23.1,13.5,25,36.5,4.37,12,15,46
2007_C09_04,C09,c,1,1.9,59.6,21.2,11.5,19,0,0,38
2007_C09_05,C09,c,2,44.2,23.1,23.1,26.9,1.71,21,8,38
2007_C12_01,C12,c,2,57.7,23.1,13.5,50,3.31,3,8,37
2007_C12_02,C12,c,0,32.7,32.7,19.2,25,5.69,6,19,56
2007_C12_03,C12,c,0,65.4,5.8,13.5,63.5,5.38,3,14,26
2007_C14_01,C14,c,6,23.1,25,19.2,50,9.54,14,8,41
2007_C14_02,C14,c,0,44.2,9.6,34.6,34.6,4.44,20,22,27
2007_C14_03,C14,c,4,17.3,17.3,32.7,48.1,11.36,16,13,93
2007_C14_04,C14,c,1,36.5,7.7,23.1,50,6.38,8,25,45
2007_C14_05,C14,c,0,48.1,5.8,28.8,53.8,14.82,10,8,51
2007_C14_06,C14,c,0,9.6,9.6,67.3,23.1,2.17,3,0,23
2007_C14_07,C14,c,3,44.2,23.1,23.1,46.2,12.63,13,32,19
2007_C14_08,C14,c,4,36.5,15.4,48.1,34.6,14.33,7,2,27
2007_C14_09,C14,c,0,0,30.8,53.8,9.6,4.2,0,0,31
2007_C14_10,C14,c,0,0,55.8,26.9,9.6,7.6,0,0,14
2007_C15_01,C15,c,0,26.9,26.9,30.8,28.8,10.27,12,9,68
2007_C15_02,C15,c,4,65.4,5.8,28.8,53.8,6.04,19,9,52
2007_C15_03,C15,c,0,0,25,44.2,15.4,6.63,0,0,6
2007_C15_04,C15,c,9,53.8,5.8,21.2,53.8,6.36,24,8,63
2007_C15_05,C15,c,0,42.3,17.3,19.2,55.8,8.83,17,17,85
2007_C15_06,C15,c,3,50,7.7,48.1,34.6,6.3,9,9,156
2007_C16_01,C16,c,4,61.5,17.3,28.8,28.8,25.07,19,17,25
2007_C16_02,C16,c,0,9.6,61.5,21.2,17.3,11.89,2,2,33
2007_C16_03,C16,c,0,38.5,9.6,15.4,42.3,21.05,23,8,26
2007_C18_01,C18,c,8,34.6,3.8,38.5,44.2,10.78,3,0,20
2007_C18_02,C18,c,3,32.7,40.4,23.1,34.6,10.56,7,5,35
2007_C18_03,C18,c,0,0,59.6,28.8,5.8,1,0,0,0
2007_C18_04,C18,c,1,34.6,5.8,55.8,21.2,27.09,14,10,62
2007_C18_05,C18,c,2,15.4,23.1,50,19.2,13,6,6,21
2007_C18_06,C18,c,1,46.2,15.4,42.3,34.6,6.6,10,19,21
2007_C18_07,C18,c,3,59.6,7.7,40.4,38.5,17.7,20,10,44
2007_C18_08,C18,c,0,0,44.2,51.9,0,,0,0,2
2007_C18_09,C18,c,0,26.9,9.6,51.9,34.6,11.56,9,14,19
2007_C19_01,C19,c,2,30.8,19.2,26.9,32.7,4.35,5,37,64
2007_C19_02,C19,c,0,50,13.5,13.5,51.9,2,12,15,28
2007_C19_03,C19,c,0,55.8,21.2,23.1,36.5,1.53,16,22,29
2007_C19_04,C19,c,0,38.5,30.8,23.1,36.5,2.53,8,18,76
2007_T04_01,T04,t,0,21.2,51.9,17.3,17.3,6.44,16,18,14
2007_T04_02,T04,t,0,36.5,40.4,19.2,36.5,4.79,6,8,15
2007_T04_03,T04,t,0,36.5,23.1,46.2,30.8,10.19,14,0,91
2007_T04_04,T04,t,2,44.2,26.9,32.7,25,30.15,11,26,79
2007_T04_05,T04,t,0,25,1.9,23.1,21.2,11.09,5,4,20
2007_T04_06,T04,t,5,40.4,32.7,7.7,46.2,6.67,19,3,10
2007_T04_07,T04,t,0,34.6,23.1,5.8,51.9,9.67,6,11,15
2007_T04_08,T04,t,1,23.1,50,17.3,25,4.46,18,5,7
2007_T04_09,T04,t,0,1.9,11.5,17.3,3.8,6.5,7,1,20
2007_T04_10,T04,t,0,0,34.6,30.8,28.8,38.73,2,0,93
2007_T04_11,T04,t,0,36.5,26.9,23.1,38.5,26.4,13,9,23
2007_T04_12,T04,t,0,26.9,21.2,28.8,25,2.08,9,11,22
2007_T04_13,T04,t,0,30.8,36.5,17.3,23.1,7.17,10,6,71
2007_T05_01,T05,t,0,32.7,26.9,13.5,53.8,19.46,15,9,21
2007_T05_02,T05,t,0,42.3,15.4,11.5,55.8,15.52,21,6,13
2007_T05_03,T05,t,0,40.4,9.6,28.8,44.2,14.13,7,19,38
2007_T05_04,T05,t,0,30.8,42.3,9.6,38.5,2.8,19,8,18
2007_T05_05,T05,t,1,38.5,32.7,17.3,23.1,1.42,15,15,30
2007_T05_06,T05,t,0,0,42.3,30.8,19.2,1.6,4,2,8
2007_T05_07,T05,t,0,34.6,32.7,17.3,28.8,24.2,15,12,14
2007_T05_08,T05,t,1,13.5,13.5,17.3,32.7,8.71,12,14,31
2007_T06_01,T06,t,0,36.5,19.2,23.1,51.9,8.78,17,7,191
2007_T06_02,T06,t,0,44.2,32.7,26.9,26.9,1.5,18,10,29
2007_T06_03,T06,t,1,40.4,30.8,26.9,38.5,5.72,11,9,71
2007_T06_04,T06,t,1,15.4,23.1,50,23.1,3.42,24,4,82
2007_T06_05,T06,t,0,38.5,11.5,15.4,44.2,1.74,16,8,55
2007_T06_06,T06,t,0,5.8,42.3,1.9,55.8,2.31,2,3,1
2007_T06_07,T06,t,0,40.4,38.5,11.5,36.5,2.32,13,20,12
2007_T06_08,T06,t,0,25,23.1,28.8,44.2,9.13,14,3,163
2007_T06_09,T06,t,0,28.8,38.5,30.8,19.2,3.2,7,9,23
2007_T07_01,T07,t,0,53.8,26.9,9.6,46.2,16.33,17,8,6
2007_T07_02,T07,t,0,38.5,30.8,15.4,42.3,4.41,14,5,15
2007_T07_03,T07,t,1,46.2,23.1,21.2,30.8,5.06,21,9,40
2007_T07_04,T07,t,0,53.8,15.4,21.2,36.5,1.58,11,10,29
2007_T07_05,T07,t,0,51.9,25,17.3,26.9,1.86,11,5,43
2007_T07_06,T07,t,0,9.6,50,13.5,21.2,6.45,8,3,16
2007_T07_07,T07,t,1,42.3,21.2,25,30.8,3.44,23,3,10
2007_T08_01,T08,t,0,36.5,40.4,21.2,30.8,13.69,15,5,29
2007_T08_02,T08,t,0,5.8,3.8,3.8,1.9,3,4,4,2
2007_T08_03,T08,t,0,13.5,15.4,44.2,38.5,18.4,2,4,120
2007_T08_04,T08,t,0,9.6,5.8,32.7,59.6,8.39,3,0,77
2007_T08_05,T08,t,0,30.8,19.2,21.2,48.1,14,14,7,33
2007_T08_06,T08,t,0,44.2,30.8,17.3,40.4,3.95,15,11,18
2007_T08_07,T08,t,0,0,30.8,32.7,26.9,12.69,0,1,121
2007_T08_08,T08,t,0,21.2,21.2,21.2,50,15.85,21,0,40
2007_T08_09,T08,t,0,11.5,30.8,26.9,38.5,21.45,8,0,83
2007_T08_10,T08,t,0,0,34.6,51.9,11.5,2.33,0,1,23
2007_T08_11,T08,t,1,21.2,30.8,25,32.7,22.76,13,4,134
2007_T08_12,T08,t,0,11.5,21.2,46.2,23.1,40.42,1,1,90
2007_T08_13,T08,t,0,13.5,30.8,13.5,30.8,13.69,16,5,8
2007_T08_14,T08,t,0,0,51.9,32.7,9.6,8.8,0,0,39
2007_T09_01,T09,t,0,42.3,23.1,1.9,59.6,15.35,11,7,2
2007_T09_02,T09,t,0,15.4,15.4,17.3,28.8,18.2,3,2,22
2007_T09_03,T09,t,2,0,15.4,25,36.5,20.79,2,4,155
2007_T09_04,T09,t,0,0,25,28.8,32.7,8.94,7,2,45
2007_T09_05,T09,t,0,36.5,28.8,23.1,36.5,8.42,11,3,69
2007_T09_06,T09,t,0,21.2,26.9,5.8,32.7,7.76,11,6,1
2007_T09_07,T09,t,0,36.5,30.8,15.4,46.2,1.88,18,5,24
2007_T14_01,T14,t,1,32.7,32.7,11.5,48.1,7.72,14,27,12
2007_T14_02,T14,t,1,3.8,32.7,57.7,3.8,41,3,0,65
2007_T19_01,T19,t,0,21.2,28.8,28.8,23.1,7.33,5,6,71
2007_T19_02,T19,t,1,26.9,34.6,21.2,32.7,13,10,13,36
2007_T19_03,T19,t,1,30.8,19.2,21.2,30.8,1.44,8,21,26
2007_T23_01,T23,t,0,38.5,38.5,17.3,40.4,9.71,16,5,4
2007_T23_02,T23,t,1,59.6,9.6,23.1,55.8,4.28,20,22,6
2007_T23_03,T23,t,0,0,38.5,15.4,46.2,1.25,0,0,0
2007_T23_04,T23,t,0,42.3,3.8,17.3,61.5,26.97,28,6,12
2007_T23_05,T23,t,2,46.2,25,21.2,40.4,14.81,9,20,13
2007_T23_06,T23,t,0,30.8,51.9,17.3,30.8,19.44,13,9,27
2007_T23_07,T23,t,1,13.5,38.5,3.8,40.4,6.9,21,5,12
2007_T23_08,T23,t,2,23.1,28.8,11.5,50,11.23,18,7,26
2007_T23_09,T23,t,0,26.9,26.9,13.5,40.4,18.95,21,9,3
2007_T23_10,T23,t,0,40.4,21.2,17.3,34.6,30,11,7,28
2007_T23_11,T23,t,1,23.1,30.8,32.7,26.9,7,17,10,57
2007_T23_12,T23,t,0,28.8,25,21.2,40.4,15.9,26,4,26
2007_T23_13,T23,t,0,42.3,21.2,9.6,59.6,2.06,12,21,17
2007_T23_14,T23,t,1,32.7,42.3,9.6,42.3,9.23,5,8,11
