Site,Pair_number,Patch,site_type,amplitude_dB_A,exposure,observed,bchu_t,Hymenoptera,Diptera,Lepidoptera,win_patch,flwrs_win_patch,btwn_patch,flwrs_btwn_patch
C02,two,Patch1,c,34.1,four,yes,0,3,0,0,1,1,0,0
C02,two,Patch2,c,36.1,four,yes,0,0,0,0,1,3,1,2
T_fork,two,Patch1,t,49,four,yes,3,2,0,1,1,1,1,4
T_fork,two,Patch2,t,50.9,four,yes,0,4,1,0,1,6,1,2
C13,thirteen,Patch1,c,37,four,yes,1,0,1,0,0,0,0,0
C13,thirteen,Patch2,c,35.7,four,yes,0,1,0,0,1,1,0,0
T13,thirteen,Patch1,t,51.8,four,yes,1,0,0,0,1,3,0,0
T13,thirteen,Patch2,t,45.8,four,yes,1,0,0,0,1,2,0,0
C06,six,Patch1,c,35.5,three,yes,0,1,0,0,0,0,0,0
C06,six,Patch2,c,33.8,three,no,,,,,1,2,0,0
T06,six,Patch1,t,47,three,yes,0,0,0,0,1,1,0,0
T06,six,Patch2,t,48.8,three,no,,,,,1,5,1,2
C07,seven,Patch1,c,35.3,three,no,,,,,0,0,0,0
C07,seven,Patch2,c,35.1,three,yes,0,1,0,0,1,1,0,0
T07,seven,Patch1,t,53.6,three,yes,1,3,0,0,1,3,0,0
T07,seven,Patch2,t,51.8,three,no,,,,,1,1,1,1
C14,forteen,Patch1,c,40.3,two,yes,0,3,0,0,0,0,0,0
C14,forteen,Patch2,c,41.8,two,yes,0,0,0,0,0,0,0,0
T_top,forteen,Patch1,t,51.1,two,yes,0,1,0,0,1,1,0,0
T_top,forteen,Patch2,t,50.6,two,yes,1,3,0,0,1,5,1,1
C04,four,Patch1,c,35.6,two,yes,1,1,0,0,0,0,0,0
C04,four,Patch2,c,36.4,two,yes,0,2,0,0,0,0,0,0
T04,four,Patch1,t,50.7,two,yes,2,2,0,0,0,0,0,0
T04,four,Patch2,t,46.7,two,yes,1,0,0,0,1,6,1,1
C09,nine,Patch1,c,34.1,two,yes,0,2,0,0,0,0,0,0
C09,nine,Patch2,c,33.2,two,no,,,,,1,2,0,0
T09,nine,Patch1,t,41.4,two,yes,1,1,0,0,1,1,0,0
T09,nine,Patch2,t,40.2,two,no,,,,,1,3,0,0
