RECEIVED,SRRECTYPE,SR_TYPE_DESC,PC,WARD,COMPLETED,CLOSED,Flytip_Status,How_Recieved,where_Recieved
01/01/2017,EPRN02,Noise - Commercial/Industrial Activities,LS1 3,City & Hunslet,03/01/2017,03/01/2017,,Self Service,CCP Self Service
01/01/2017,EPRN18,Noise - PA Systems & Loud Speakers,,City & Hunslet,03/01/2017,03/01/2017,,Self Service,CCP Self Service
01/01/2017,EPRN21,Noise - Low Frequency,,Weetwood,03/01/2017,03/01/2017,,Self Service,CCP Self Service
02/01/2017,EPRN25,Noise - Licensed Premises,,Hyde Park & Woodhouse,03/01/2017,03/01/2017,,Self Service,CCP Self Service
04/01/2017,EPRN25,Noise - Licensed Premises,,City & Hunslet,04/01/2017,04/01/2017,,E-mail,Environmental Health Back Office
04/01/2017,EPRN04,Noise - Delivery/Collection Vehicles,,Morley North,23/02/2017,23/02/2017,,Telephone Call,Environmental Health Back Office
05/01/2017,EPRN23,Noise - Taxis,,City & Hunslet,10/01/2017,10/01/2017,,Self Service,CCP Self Service
05/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,City & Hunslet,12/01/2017,12/01/2017,,E-mail,Environmental Health Back Office
06/01/2017,EPRN21,Noise - Low Frequency,,City & Hunslet,06/01/2017,06/01/2017,,Self Service,CCP Self Service
07/01/2017,EPRN02,Noise - Commercial/Industrial Activities,,Armley,09/01/2017,09/01/2017,,Telephone Call,Environmental Health Back Office
08/01/2017,EPRN25,Noise - Licensed Premises,,Chapel Allerton,09/01/2017,09/01/2017,,Telephone Call,Environmental Health Back Office
08/01/2017,EPRN06,Noise - Transport Not Constructn Related,LS6 2,Headingley,09/01/2017,09/01/2017,,Telephone Call,Environmental Health Back Office
09/01/2017,EPRN02,Noise - Commercial/Industrial Activities,LS9 7,Gipton & Harehills,23/03/2017,23/03/2017,,E-mail,Environmental Health Back Office
09/01/2017,EPRN25,Noise - Licensed Premises,,City & Hunslet,10/01/2017,10/01/2017,,Telephone Call,Contact Centre
