date, pm25, pm10, o3, no2, so2, co, psi,total
01-06-21,45,25,10, , ,2, ,82
02-06-21,41,29,13, ,1,2, ,86
03-06-21,50,25,12, ,2,2, ,91
04-06-21,37,28,13, ,1,2, ,81
05-06-21,59,34,5, ,2,3, ,103
06-06-21,76, , , , , , ,76
01-05-21,50,23,25, ,1,2, ,101
02-05-21,33,25,23, ,1,2, ,84
03-05-21,39,27,26, ,1,3, ,96
04-05-21,51,27,20, ,1,3, ,102
05-05-21,42,27,16, ,1,3, ,89
06-05-21,53,34,19, ,1,3, ,110
07-05-21,55,28,25, ,1,2, ,111
08-05-21,48,29,29, ,1,2, ,109
09-05-21,50,32,20, ,1,2, ,105
10-05-21,47,24,14, ,1,1, ,87
11-05-21,35,26,17, ,1,2, ,81
12-05-21,52,40,14, ,1,3, ,110
13-05-21,77,27,11, ,2,1, ,118
14-05-21,41,27,29, ,3,2, ,102
15-05-21,43,26,24, ,4,2, ,99
16-05-21,35,21,8, ,1,1, ,66
17-05-21,40,26,11, ,1,2, ,80
18-05-21,38,23,9, ,1,2, ,73
19-05-21,43,32,20, ,2,4, ,101
20-05-21,64,26,11, ,1,3, ,105
21-05-21,37,31,11, ,1,4, ,84
22-05-21,50,28,21, ,2,2, ,103
23-05-21,46,26,18, ,2,2, ,94
24-05-21,47,25,18, ,1,1, ,92
25-05-21,37,25,18, ,2,1, ,83
26-05-21,37,25,11, ,1,2, ,76
27-05-21,44,33,23, ,1,2, ,103
28-05-21,64,31,13, ,2,2, ,112
29-05-21,52,25,20, ,2,1, ,100
30-05-21,39,25,12, ,1,2, ,79
31-05-21,43,24,14, ,1,1, ,83
01-04-21,32,27,38, ,3,2, ,102
02-04-21,51,29,30, ,3,2, ,115
03-04-21,56,29,24, ,3,2, ,114
04-04-21,43,30,16, ,2,3, ,94
05-04-21,52,30,15, ,2,4, ,103
06-04-21,46,29,22, ,2,2, ,101
07-04-21,36,27,39, ,3,2, ,107
08-04-21,49,31,19, ,3,2, ,104
09-04-21,51,35,24, ,2,3, ,115
10-04-21,63,41,23, ,1,2, ,130
11-04-21,73,37,29, ,1,2, ,142
12-04-21,63,34,18, ,1,2, ,118
13-04-21,60,32,36, ,1,3, ,132
14-04-21,55,31,20, ,1,3, ,110
15-04-21,57,33,16, ,1,4, ,111
16-04-21,64,35,14, ,1,4, ,118
17-04-21,51,27,39, ,2,4, ,123
18-04-21,69,35,20, ,2,4, ,130
19-04-21,64,36,41, ,3,4, ,148
20-04-21,74,30,20, ,1,2, ,127
21-04-21,46,35,2, ,1,3, ,87
22-04-21,58,23, , ,1,2, ,84
23-04-21,31,23, , ,2,2, ,58
24-04-21,36,27,20, ,2,2, ,87
25-04-21,49,30,10, ,1,3, ,93
26-04-21,58,35,11, ,1,5, ,110
27-04-21,71,37,19, ,1,4, ,132
28-04-21,69,32,13, ,1,4, ,119
29-04-21,52,33,15, ,1,4, ,105
30-04-21,64,32,23, ,1,4, ,124
01-03-21,87,42,26, ,2,3, ,160
02-03-21,70,32,19, ,2,2, ,125
03-03-21,53,29,14, ,2,2, ,100
04-03-21,51,34,14, ,2,2, ,103
05-03-21,44,32,13, ,2,2, ,93
06-03-21,49,32,8, ,2,3, ,94
07-03-21,62,23,17, ,2,3, ,107
08-03-21,41,29,19, ,2,2, ,93
09-03-21,49,32,22, ,3,2, ,108
10-03-21,55,30,18, ,2,2, ,107
11-03-21,42,25,13, ,2,2, ,84
12-03-21,34,24,14, ,2,2, ,76
13-03-21,40,26,15, ,2,2, ,85
14-03-21,44,35,14, ,2,2, ,97
15-03-21,52,37,20, ,2,2, ,113
16-03-21,53,35,19, ,2,2, ,111
17-03-21,52,34,20, ,2,3, ,111
18-03-21,52,35,27, ,2,3, ,119
19-03-21,59,35,21, ,2,2, ,119
20-03-21,53,38,22, ,2,3, ,118
21-03-21,53,28,15, ,2,2, ,100
22-03-21,42,28,13, ,2,2, ,87
23-03-21,40,23,8, ,2,2, ,75
24-03-21,31,22,8, ,2,2, ,65
25-03-21,39,24,20, ,2,2, ,87
26-03-21,31,26,8, ,3, , ,68
27-03-21,42,35,66, ,3,3, ,149
28-03-21,61,30,16, ,3,2, ,112
29-03-21,44,30,23, ,3,3, ,103
30-03-21,59,32,17, , ,2, ,110
31-03-21,40,27,20, ,3,1, ,91
01-02-21,43,34,19, ,2,3, ,101
02-02-21,38,32,24, ,2,3, ,99
03-02-21,41,34,20, ,2, , ,97
04-02-21,39,31,16, ,2, , ,88
05-02-21,41,36,20, ,2,3, ,102
06-02-21,44,32,17, ,2,3, ,98
07-02-21,38,27,14, ,2, , ,81
08-02-21,35,29,17, ,2,4, ,87
09-02-21,39,31,13, ,2,3, ,88
10-02-21,44,29,15, ,2,3, ,93
11-02-21,38,26,19, ,2,4, ,89
12-02-21,35,28,24, ,2,4, ,93
13-02-21,47,34,26, ,2,4, ,113
14-02-21,60,36,30, ,2,4, ,132
15-02-21,62,42,34, ,2,4, ,144
16-02-21,80,40,32, ,2,3, ,157
17-02-21,62,33,27, ,2,3, ,127
18-02-21,42,32,22, ,2,3, ,101
19-02-21,46,38,20, ,2,3, ,109
